SR.NO. SAPID NAME Attendance% 3/11/2017 3/12/2017 3/13/2017 3/14/2017 3/15/2017 3/16/2017 3/17/2017 3/18/2017 3/19/2017 3/20/2017
1 60004160040 Sree_Sandeep_Joshi 80.00% P P A P P A P P P P
2 60004160041 Vikram_Samir_Kulkarni 75.00% A P P P P A A P P P
3 60004160042 BhavnaÿShyamÿKorrapati 85.00% P P P P P P P P A P
4 60004160043 NishaÿShrinivasÿChaudhary 90.00% P P P A P P P P P P
5 60004160044 ChandrakantÿJayantÿKumar 35.00% A A A P A A P P A A
6 60004160045 AkankshaÿMinaÿMishra 74.00% P P P A P P P A P A
7 60004160046 MadhukarÿKartikÿNarang 84.00% P A P A P P P P P P
8 60004160047 SwapnaÿKarthikaÿSharma 56.00% A P P A P A P A P A
9 60004160048 MuraliÿAishwaryaÿJoshi 87.00% P P A P A P P P P P
10 60004160049 AmalaÿSonamÿTamboli 98.00% P P P P P P A P P P
11 60004160050 PurnimaÿPrabhakarÿNibhanupudi 53.00% P A A A P P A P P A
12 60004160051 DamodarÿTanuÿKumar 72.00% A P P A P P P A P P
13 60004160052 VijayaÿSavitriÿMhasalkar 67.00% P A P P A A P P A A
14 60004160053 UttarÿVasudhaÿChaudhri 58.00% P A A P A P A P A P
15 60004160054 AryanÿLochanaÿKaur 79.00% A P P P A P P A P P
16 60004160055 MohanÿPoojaÿChaudhari 86.00% P A P P P P P P P A
17 60004160056 ShivaliÿRaviÿGupta 93.00% P P P A P P P P P P
18 60004160057 NiketaÿAbhishekÿGadhavi 86.00% P A P P A P P P P P
19 60004160058 BhavnaÿNanditaÿGupta 75.00% A P A P P P A P P P
20 60004160059 RavindraÿAnoopÿChaudhari 80.00% P P A P P P P P A P
21 60004160060 VidyaÿVasudhaÿBachchan 83.00% P P A P A P P P P P
