SR.NO. SAPID NAME Attendance% 3/11/2017 3/12/2017 3/13/2017 3/14/2017 3/15/2017 3/16/2017 3/17/2017 3/18/2017 3/19/2017 3/20/2017
1 60004160040 Sree_Sandeep_Joshi 80.00% P P A P P A P P P P
2 60004160041 Vikram_Samir_Kulkarni 75.00% A P P P P A A P P P
3 60004160042 Bhavna_Shyam_Korrapati 85.00% P P P P P P P P A P
4 60004160043 Nisha_Shrinivas_Chaudhary 90.00% P P P A P P P P P P
5 60004160044 Chandrakant_Jayant_Kumar 35.00% A A A P A A P P A A
6 60004160045 Akanksha_Mina_Mishra 74.00% P P P A P P P A P A
7 60004160046 Madhukar_Kartik_Narang 84.00% P A P A P P P P P P
8 60004160047 Swapna_Karthika_Sharma 56.00% A P P A P A P A P A
9 60004160048 Murali_Aishwarya_Joshi 87.00% P P A P A P P P P P
10 60004160049 Amala_Sonam_Tamboli 98.00% P P P P P P A P P P
11 60004160050 Purnima_Prabhakar_Nibhanupudi 53.00% P A A A P P A P P A
12 60004160051 Damodar_Tanu_Kumar 72.00% A P P A P P P A P P
13 60004160052 Vijaya_Savitri_Mhasalkar 67.00% P A P P A A P P A A
14 60004160053 Uttar_Vasudha_Chaudhri 58.00% P A A P A P A P A P
15 60004160054 Aryan_Lochana_Kaur 79.00% A P P P A P P A P P
16 60004160055 Mohan_Pooja_Chaudhari 86.00% P A P P P P P P P A
17 60004160056 Shivali_Ravi_Gupta 93.00% P P P A P P P P P P
18 60004160057 Niketa_Abhishek_Gadhavi 86.00% P A P P A P P P P P
19 60004160058 Bhavna_Nandita_Gupta 75.00% A P A P P P A P P P
20 60004160059 Ravindra_Anoop_Chaudhari 80.00% P P A P P P P P A P
21 60004160060 Vidya_Vasudha_Bachchan 83.00% P P A P A P P P P P
